ord,l_time,q_time,rPHIRKAh2,FOMh2,rlh2,PHIRKAh2,rqh2,lh2,rPHIRKAhinf,qh2,rlhinf,FOMhinf,rqhinf,PHIRKAhinf,lhinf,qhinf
1,0.0005981922149658,0.0015957355499267,1.0,0.3646215110529472,1.1596960630841493,0.3646215110529472,1.0159313670262247,0.4228501308838965,,0.3704304301711884,1.2096639586790536,0.468251861316395,0.959266737417324,,0.5664274002188256,0.4491784352945675
2,0.000655174255371,0.0015432834625244,0.8152748904742366,0.3646215110529472,0.9100949245655816,0.2972667624882422,0.8871352781610407,0.3318401865967204,1.0014954796082858,0.3234686056314553,1.0881886240011744,0.468251861316395,0.8972922762611144,0.4689521224265355,0.5095463486518766,0.4201587785040917
3,0.0006415843963623,0.0016219615936279,0.783765800471094,0.3646215110529472,1.2737158517581186,0.285777870479393,1.0267746406783818,0.4644241985201369,0.81079929673651,0.3743841209949985,2.2142622124283773,0.468251861316395,1.2102908609565128,0.3796582798508949,1.0368324024121465,0.5667209483771094
4,0.0006458759307861,0.0016286373138427,0.5437000162953592,0.3646215110529472,1.0073981557762481,0.1982447215011259,0.9605201087948784,0.3673190377910879,0.5579166332667087,0.3502262934655298,1.3624542466452416,0.468251861316395,0.9207042623630588,0.2612455019865129,0.6379717369500612,0.4311214845734408
5,0.0006384849548339,0.0016095638275146,0.5446939516618192,0.3646215110529472,1.2162064884163457,0.1986071317163335,0.934236271561173,0.4434550475587667,0.5530833751543479,0.3406426410171064,8.394468588927083,0.468251861316395,2.834684925437941,0.2589823198791774,3.930725541527119,1.3273464925818423
6,0.0007505416870117,0.0017833709716796,0.5027934056055228,0.3646215110529472,0.8088166950286683,0.1833292912993431,0.8655706531334426,0.2949119655062038,0.5345122161569241,0.3156056794686023,1.2971985026408497,0.468251861316395,0.8178963196898763,0.250286340111831,0.6074156133584184,0.3829814740586138
7,0.0004847049713134,0.0016825199127197,0.46283995760007673,0.3646215110529472,0.9337634573307524,0.168761404715822,0.888116531945049,0.3404702427779631,0.5004764165424023,0.3238263918689068,5.7993654206326335,0.468251861316395,1.9907262901557243,0.2343490135909393,2.7155636526651685,0.9321612907368998
8,0.0006334781646728,0.0016989707946777,0.34306886538402986,0.3646215110529472,0.7731517533768587,0.1250902880915451,0.872563968166609,0.2819077605895058,0.3654178066247327,0.3181555925632647,0.8936701060115719,0.468251861316395,0.8309902256558351,0.1711075681101856,0.4184626905427386,0.3891127198990759
9,0.0006518363952636,0.0016837120056152,0.33765360928335625,0.3646215110529472,0.7319824718981792,0.1231157692293788,0.8606016676246697,0.2668965549677856,0.3628558944971901,0.3137938804639933,1.044694959289475,0.468251861316395,0.8054009143377316,0.1699079479879347,0.4891803591951521,0.3771304772445693
10,0.0007295608520507,0.0017483234405517,0.24226051422038694,0.3646215110529472,0.7266915192722471,0.0883333947635015,0.8584085867177517,0.2649673598264086,0.28808079959458693,0.3129942359898515,0.8073890003828998,0.468251861316395,0.8103490194556889,0.1348943706196807,0.3780614022356764,0.3794474366760419
11,0.0007588863372802,0.0019364356994628,0.2235417588229316,0.3646215110529472,0.7088709462535474,0.0815081338854508,0.8577023674516766,0.258469595564501,0.27131291511330385,0.3127367332539205,0.8063296263152074,0.468251861316395,0.8050321939201058,0.1270427775009816,0.3775653483566491,0.3769578232227106
12,0.0007517337799072,0.0017979145050048,0.17145287668799264,0.3646215110529472,0.7129236512232427,0.0625154069723505,0.858443771401777,0.2599472989744031,0.21285814768780587,0.3130070650825067,0.8073122213924561,0.468251861316395,0.7949564569299881,0.0996712238511752,0.3780254503304911,0.3722398406229535
13,0.0007517337799072,0.0017895698547363,0.1552409248491086,0.3646215110529472,0.7018852199005076,0.056604180595739,0.8567908768398373,0.2559224494658532,0.19580442040450718,0.3124043841697211,0.8060027040800596,0.468251861316395,0.8033061272195033,0.0916857843083884,0.3774122664115354,0.3761495892773972
14,0.0008051395416259,0.0019359588623046,0.12474168236043752,0.3646215110529472,0.7029318006481782,0.0454835007135495,0.856484732861609,0.2563040553195078,0.15739604307167435,0.3122927574897797,0.8066851223447814,0.468251861316395,0.7912513866524622,0.073700990132147,0.3777318100341877,0.370504934569194
15,0.0008397102355957,0.0018699169158935,0.11250232377493087,0.3646215110529472,0.7029215551295172,0.0410207672917832,0.8564933539186613,0.2563003195830121,0.14355333971213546,0.312295900912629,0.8066917391932237,0.468251861316395,43.936605239809346,0.0672191185183922,0.3777349083857869,20.5733971834644
16,0.0008134841918945,0.001969575881958,0.09556847432634964,0.3646215110529472,0.7029218039469883,0.0348463215178984,0.8564886006805924,0.2563004103072144,0.12202352490591568,0.3122941677797819,0.8066913038921996,0.468251861316395,20.210262113879857,0.0571377426615825,0.3777347045552721,9.463492852516463
17,0.0008392333984375,0.0019958019256591,0.08103000202507056,0.3646215110529472,0.7029218497310008,0.0295452817790046,0.8564905167219526,0.2563004270010502,0.10324346848517209,0.3122948664096779,0.806693128649286,0.468251861316395,23.414167120825393,0.0483439462869424,0.3777355590011743,10.963727335499629
18,0.0008401870727539,0.0019087791442871,0.06787483466728494,0.3646215110529472,0.7029218343809756,0.0247486247788544,0.8566693981312341,0.2563004214041008,0.08671293576146055,0.3123600904194294,0.8066913032641141,0.468251861316395,1157.1873214409802,0.0406034935705129,0.3777347042611699,541.8551171564725
19,0.0008540153503417,0.001971960067749,0.05653349677352089,0.3646215110529472,0.7029217922455806,0.0206133290186681,0.8564905728084357,0.2563004060406294,0.0714800574472706,0.3122948868600161,,0.468251861316395,104.3057917500542,0.0334706699466873,,48.84138113304316
20,0.0008659362792968,0.0020246505737304,0.046022721892968424,0.3646215110529472,0.7029218035489426,0.0167808743993837,0.8565091262204515,0.2563004101620784,0.05830723443209504,0.3123016518331405,,0.468251861316395,,0.0273024710510399,,
